,평균 장마일수,장마 기간 중 합계강수량 평균,최대 장마일수,장마 기간 중 합계강수량 최대,일일 강수량 1st,일일 강수량 2nd,일일 강수량 3rd,연도별 강수량 최대,연도별 강수량 평균
서울,30.60714,431.4286,49,1068.4,176.2,129.6,124.5,2349.1,1433.048
포항,31,249.0679,46,591.6,342.4,309.2,179.4,2098.1,1180.966
